;Gemeentenaam;month;koopprijs
0;Aa en Hunze;1;248782.14285714287
1;Aa en Hunze;2;347736.84210526315
2;Aa en Hunze;3;320120.0
3;Aa en Hunze;4;357150.0
4;Aa en Hunze;5;304333.3333333333
5;Aa en Hunze;6;274041.6666666667
6;Aa en Hunze;7;253854.05405405405
7;Aa en Hunze;8;269847.22222222225
8;Aa en Hunze;9;293195.0
9;Aa en Hunze;10;292000.0
10;Aa en Hunze;11;277437.037037037
11;Aa en Hunze;12;267330.0
12;Aalburg;1;323950.0
13;Aalburg;2;328916.6666666667
14;Aalburg;3;370659.0909090909
15;Aalburg;4;397076.92307692306
16;Aalburg;5;343250.0
17;Aalburg;6;335933.3333333333
18;Aalburg;7;262050.0
19;Aalburg;8;274863.63636363635
20;Aalburg;9;282638.8888888889
21;Aalburg;10;318642.85714285716
22;Aalburg;11;386600.0
23;Aalburg;12;333150.0
24;Aalsmeer;1;409382.35294117645
25;Aalsmeer;2;439000.0
26;Aalsmeer;3;451259.25925925927
27;Aalsmeer;4;396657.8947368421
28;Aalsmeer;5;494395.8333333333
29;Aalsmeer;6;363875.0
30;Aalsmeer;7;402815.7894736842
31;Aalsmeer;8;411638.8888888889
32;Aalsmeer;9;453992.0
33;Aalsmeer;10;385615.3846153846
34;Aalsmeer;11;356138.8888888889
35;Aalsmeer;12;405000.0
36;Aalten;1;233996.9
37;Aalten;2;210703.08333333334
38;Aalten;3;230915.68
39;Aalten;4;259452.28
40;Aalten;5;207413.24
41;Aalten;6;288595.1304347826
42;Aalten;7;243674.4375
43;Aalten;8;258545.67857142858
44;Aalten;9;243793.42857142858
45;Aalten;10;231056.36363636365
46;Aalten;11;201634.5
47;Aalten;12;225759.38888888888
48;Achtkarspelen;1;236025.0
49;Achtkarspelen;2;202269.23076923078
50;Achtkarspelen;3;220533.33333333334
51;Achtkarspelen;4;225265.625
52;Achtkarspelen;5;228740.0
53;Achtkarspelen;6;213750.0
54;Achtkarspelen;7;238933.33333333334
55;Achtkarspelen;8;226181.81818181818
56;Achtkarspelen;9;251532.8260869565
57;Achtkarspelen;10;258395.83333333334
58;Achtkarspelen;11;209100.0
59;Achtkarspelen;12;228110.7142857143
60;Alblasserdam;1;230775.0
61;Alblasserdam;2;309250.0
62;Alblasserdam;3;243166.66666666666
63;Alblasserdam;4;331961.53846153844
64;Alblasserdam;5;331333.3333333333
65;Alblasserdam;6;297000.0
66;Alblasserdam;7;306100.0
67;Alblasserdam;8;257285.7142857143
68;Alblasserdam;9;255717.39130434784
69;Alblasserdam;10;256075.0
70;Alblasserdam;11;267038.46153846156
71;Alblasserdam;12;252978.26086956522
72;Albrandswaard;1;322865.0
73;Albrandswaard;2;352208.6956521739
74;Albrandswaard;3;396558.06451612903
75;Albrandswaard;4;355550.0
76;Albrandswaard;5;445867.7450980392
77;Albrandswaard;6;381338.46153846156
78;Albrandswaard;7;346562.5
79;Albrandswaard;8;373892.85714285716
80;Albrandswaard;9;347400.0
81;Albrandswaard;10;385234.2105263158
82;Albrandswaard;11;383700.0
83;Albrandswaard;12;310905.8823529412
84;Alkmaar;1;279136.6972477064
85;Alkmaar;2;284590.2255639098
86;Alkmaar;3;276502.77777777775
87;Alkmaar;4;279175.0
88;Alkmaar;5;275893.7610619469
89;Alkmaar;6;302322.3893129771
90;Alkmaar;7;286692.98245614034
91;Alkmaar;8;267045.9183673469
92;Alkmaar;9;293147.5177304965
93;Alkmaar;10;272902.9126213592
94;Alkmaar;11;293334.8623853211
95;Alkmaar;12;298058.5106382979
96;Almelo;1;210887.93103448275
97;Almelo;2;204650.0
98;Almelo;3;208028.4090909091
99;Almelo;4;207630.61224489796
100;Almelo;5;206570.58823529413
101;Almelo;6;215788.37209302327
102;Almelo;7;247330.68181818182
103;Almelo;8;233489.83050847458
104;Almelo;9;216221.42857142858
105;Almelo;10;196997.22222222222
106;Almelo;11;207629.33333333334
107;Almelo;12;178204.34782608695
108;Almere;1;247851.23287671234
109;Almere;2;254153.2513661202
110;Almere;3;277473.25757575757
111;Almere;4;244859.76744186046
112;Almere;5;304207.8728070175
113;Almere;6;291224.5669014084
114;Almere;7;273036.88932806323
115;Almere;8;279436.71957671957
116;Almere;9;276998.6692015209
117;Almere;10;279773.87096774194
118;Almere;11;253114.83982683983
119;Almere;12;263403.6666666667
120;Alphen aan den Rijn;1;279886.2745098039
121;Alphen aan den Rijn;2;291540.2097902098
122;Alphen aan den Rijn;3;301736.71875
123;Alphen aan den Rijn;4;274358.2427184466
124;Alphen aan den Rijn;5;336538.78109452734
125;Alphen aan den Rijn;6;318097.4842767296
126;Alphen aan den Rijn;7;341440.1041666667
127;Alphen aan den Rijn;8;280070.4081632653
128;Alphen aan den Rijn;9;304628.3870967742
129;Alphen aan den Rijn;10;322499.2366412214
130;Alphen aan den Rijn;11;273793.4579439252
131;Alphen aan den Rijn;12;301127.5733333333
132;Alphen-Chaam;1;273125.0
