;Density Group;Gemeentenaam_x;koopprijs
42;0-1000;Bloemendaal;887259.9277978339
179;0-1000;Laren;822066.5172413794
41;0-1000;Blaricum;746887.0860655737
341;0-1000;Wassenaar;736985.088607595
273;0-1000;Rozendaal;591343.75
897;2001-3000;Heemstede;591099.7757847534
497;1001-2000;Gooise Meren;530844.5486518171
67;0-1000;De Bilt;528722.5933202357
32;0-1000;Bergen (NH.);514404.37158469943
355;0-1000;Wijdemeren;499198.9197530864
1915;5001-6000;Amsterdam;496580.65873971506
774;2001-3000;Amstelveen;494582.4229287091
342;0-1000;Waterland;487770.9861111111
227;0-1000;Noordwijk;484720.7505285412
176;0-1000;Landsmeer;477865.82352941175
94;0-1000;Eemnes;472022.22222222225
70;0-1000;De Ronde Venen;465782.9352051836
317;0-1000;Utrechtse Heuvelrug;455979.3133802817
335;0-1000;Vught;455001.3888888889
250;0-1000;Ouder-Amstel;454411.1842105263
1372;3001-4000;Oegstgeest;451930.09478672984
749;1001-2000;Zeist;450401.2556818182
366;0-1000;Zandvoort;443786.8525896414
244;0-1000;Oostzaan;439924.1935483871
27;0-1000;Beemster;437859.6736842105
125;0-1000;Haaren;436719.4915254237
352;0-1000;Westvoorne;435461.7021276596
127;0-1000;Haarlemmerliede en Spaarnwoude;427912.2807017544
523;1001-2000;Heiloo;425472.35135135136
55;0-1000;Bunnik;421428.5714285714
920;2001-3000;Huizen;421284.3429158111
22;0-1000;Baarn;420878.125
288;0-1000;Soest;419391.269470405
382;1001-2000;Aalsmeer;416142.3791821561
234;0-1000;Oisterwijk;415752.24913494807
258;0-1000;Putten;415048.67965367966
1093;2001-3000;Voorschoten;414210.8910891089
337;0-1000;Waalre;414183.6820083682
251;0-1000;Oudewater;413779.10447761195
372;0-1000;Zoeterwoude;404797.4683544304
558;1001-2000;Lansingerland;404327.93095768377
297;0-1000;Stichtse Vecht;403890.10113780026
533;1001-2000;Hilversum;402885.83895705524
152;0-1000;Hilvarenbeek;402055.6
302;0-1000;Terschelling;400437.5
2026;5001-6000;Haarlem;399580.03487358324
636;1001-2000;Pijnacker-Nootdorp;399383.4610778443
96;0-1000;Eersel;397602.5989583333
283;0-1000;Sint-Michielsgestel;396039.3939393939
330;0-1000;Vlieland;395000.0
233;0-1000;Oirschot;393911.76470588235
194;0-1000;Lopik;391182.2033898305
207;0-1000;Midden-Delfland;391149.26519337017
684;1001-2000;Teylingen;389335.4114713217
344;0-1000;Weesp;387701.8874598071
112;0-1000;Giessenlanden;383269.23076923075
59;0-1000;Castricum;382005.0429184549
694;1001-2000;Uithoorn;381901.8087855297
11;0-1000;Alphen-Chaam;381037.63440860214
133;0-1000;Haren;380073.48242811504
103;0-1000;Epe;379016.4864864865
290;0-1000;Son en Breugel;379013.3611111111
229;0-1000;Nuenen, Gerwen en Nederwetten;378911.6816720257
360;0-1000;Woerden;378781.35313531355
362;0-1000;Woudenberg;378069.02127659577
386;1001-2000;Albrandswaard;376889.05821917806
159;0-1000;Houten;374377.2631578947
192;0-1000;Lochem;372300.3937007874
334;0-1000;Voorst;371916.6666666667
1456;3001-4000;Utrecht;370537.6059238917
188;0-1000;Leusden;368604.56971153844
57;0-1000;Buren;368488.38028169016
30;0-1000;Bergeijk;367863.829787234
128;0-1000;Haarlemmermeer;367125.5234580917
228;0-1000;Noordwijkerhout;366255.3488372093
163;0-1000;Kaag en Braassem;362882.0
945;2001-3000;Leidschendam-Voorburg;361701.74371451745
265;0-1000;Rhenen;360171.2669491525
571;1001-2000;Lisse;359619.7411003236
12;0-1000;Ameland;358700.0
2355;6001-7000;Den Haag;357710.2290125442
108;0-1000;Geldermalsen;357496.3017751479
261;0-1000;Renkum;357333.7239583333
430;1001-2000;Breda;356719.0990566038
149;0-1000;Heumen;356709.08284023666
174;0-1000;Landerd;356156.4285714286
24;0-1000;Barneveld;355524.24577373214
221;0-1000;Nijkerk;353418.8118811881
303;0-1000;Texel;353275.8064516129
52;0-1000;Bronckhorst;352390.0307692308
374;0-1000;Zuidplas;351698.87096774194
142;0-1000;Heeze-Leende;350841.12903225806
773;2001-3000;Amersfoort;350241.3168056165
220;0-1000;Nieuwkoop;350027.43902439025
92;0-1000;Edam-Volendam;349916.9435215947
839;2001-3000;Diemen;349746.98913043475
21;0-1000;Baarle-Nassau;349447.9166666667
926;2001-3000;Katwijk;348553.2724505327
730;1001-2000;Westland;348443.1052631579
104;0-1000;Ermelo;347993.75
97;0-1000;Eijsden-Margraten;347819.5294117647
783;2001-3000;Barendrecht;347567.5081433225
197;0-1000;Maasdriel;346975.391634981
135;0-1000;Hattem;346965.81196581194
65;0-1000;Dalfsen;346424.396
454;1001-2000;Den Bosch;344775.2170138889
212;0-1000;Molenwaard;344487.55760368664
262;0-1000;Renswoude;344295.3846153846
36;0-1000;Best;343688.7139107612
43;0-1000;Bodegraven-Reeuwijk;343210.71428571426
116;0-1000;Goirle;343177.4410774411
40;0-1000;Bladel;341012.3103448276
189;0-1000;Lingewaal;340422.7272727273
557;1001-2000;Langedijk;340003.89221556886
214;0-1000;Montfoort;338977.2727272727
49;0-1000;Boxtel;337530.16949152545
56;0-1000;Bunschoten;337436.7256637168
210;0-1000;Mill en Sint Hubert;337385.5421686747
375;0-1000;Zundert;337061.1510791367
35;0-1000;Bernheze;336816.7938931298
361;0-1000;Wormerland;336641.5094339623
236;0-1000;Oldebroek;336207.8156424581
328;0-1000;Vianen;336051.04529616726
239;0-1000;Ommen;335938.5869565217
542;1001-2000;IJsselstein;335500.4924924925
704;1001-2000;Veldhoven;334227.1897810219
173;0-1000;Laarbeek;334134.5291479821
230;0-1000;Nunspeet;333813.1832797428
215;0-1000;Mook en Middelaar;332531.16842105263
263;0-1000;Reusel-De Mierden;332343.75
347;0-1000;Westerveld;330729.8298755187
2083;5001-6000;Leiden;330086.67462211614
1;0-1000;Aalburg;329543.3333333333
310;0-1000;Tynaarlo;329490.8366445916
218;0-1000;Neerijnen;329240.94202898553
53;0-1000;Brummen;328915.9439655172
346;0-1000;West Maas en Waal;328746.3054187192
150;0-1000;Heusden;326989.46428571426
489;1001-2000;Geldrop-Mierlo;326545.43494423793
110;0-1000;Gemert-Bakel;326488.5775862069
172;0-1000;Krimpenerwaard;326465.1647446458
138;0-1000;Heerde;325836.7962962963
217;0-1000;Nederweert;325524.6666666667
858;2001-3000;Eindhoven;325157.3640915594
367;0-1000;Zederik;324761.53846153844
238;0-1000;Olst-Wijhe;324453.1224489796
276;0-1000;Scherpenzeel;324073.6111111111
252;0-1000;Overbetuwe;323399.3795620438
356;0-1000;Wijk bij Duurstede;323104.1666666667
705;1001-2000;Velsen;322932.60553129547
313;0-1000;Uitgeest;322611.1111111111
216;0-1000;Neder-Betuwe;322544.22222222225
308;0-1000;Tubbergen;320995.9016393443
86;0-1000;Drechterland;320505.55555555556
944;2001-3000;Leiderdorp;319738.54447439354
71;0-1000;De Wolden;319513.77358490566
105;0-1000;Etten-Leur;319312.5338983051
204;0-1000;Meierijstad;318430.7046979866
516;1001-2000;Heemskerk;317757.3966346154
282;0-1000;Sint Anthonis;317728.2051282051
511;1001-2000;Harderwijk;316592.1746293245
365;0-1000;Zaltbommel;314705.0505050505
20;0-1000;Asten;314524.3846153846
1592;4001-5000;Delft;314376.31556319864
154;0-1000;Hof van Twente;314267.6848874598
353;0-1000;Wierden;314064.6237113402
123;0-1000;Gulpen-Wittem;312032.7102803738
275;0-1000;Schagen;311850.0
48;0-1000;Boxmeer;311068.63513513515
289;0-1000;Someren;311031.84713375795
203;0-1000;Meerssen;310271.49758454104
960;2001-3000;Maastricht;310197.37214983715
312;0-1000;Uden;310157.68482490274
319;0-1000;Valkenburg aan de Geul;308734.3949044586
280;0-1000;Schouwen-Duiveland;308093.10926365794
531;1001-2000;Hillegom;307551.51515151514
44;0-1000;Boekel;307250.0
10;0-1000;Alphen aan den Rijn;307208.4767879548
64;0-1000;Culemborg;306805.4849785408
267;0-1000;Rijssen-Holten;306740.3566878981
61;0-1000;Cranendonck;306569.80337078654
170;0-1000;Korendijk;305626.90625
93;0-1000;Ede;305560.0041420118
363;0-1000;Woudrichem;305088.23529411765
242;0-1000;Oosterhout;304943.106122449
292;0-1000;Staphorst;304654.3209876543
83;0-1000;Dongen;304601.78571428574
113;0-1000;Gilze en Rijen;304100.790513834
202;0-1000;Medemblik;304053.03738317755
87;0-1000;Drimmelen;304008.86524822697
77;0-1000;Deurne;303569.5238095238
29;0-1000;Berg en Dal;303523.87387387385
129;0-1000;Halderberge;303140.95221843006
193;0-1000;Loon op Zand;302839.905362776
190;0-1000;Lingewaard;302617.6961602671
89;0-1000;Druten;302463.91752577317
62;0-1000;Cromstrijen;302306.862745098
37;0-1000;Beuningen;302193.01470588235
80;0-1000;Dinkelland;301847.36842105264
323;0-1000;Veere;301750.2380952381
16;0-1000;Apeldoorn;300742.0607394366
39;0-1000;Binnenmaas;300697.8672316384
907;2001-3000;Hendrik-Ido-Ambacht;300623.5576923077
720;1001-2000;Wageningen;300398.1609195402
354;0-1000;Wijchen;300305.6073500967
1032;2001-3000;Rotterdam;299826.7003439381
320;0-1000;Valkenswaard;299149.2905198777
332;0-1000;Voerendaal;299127.0
274;0-1000;Rucphen;298809.1743119266
339;0-1000;Waddinxveen;297966.1347150259
368;0-1000;Zeewolde;297562.17039106146
759;1001-2000;Zwolle;296953.9230327398
181;0-1000;Leerdam;296929.6386554622
1462;3001-4000;Veenendaal;296042.75925925927
245;0-1000;Opmeer;295975.3086419753
498;1001-2000;Gorinchem;295742.0246212121
99;0-1000;Elburg;294966.58291457285
1362;3001-4000;Nijmegen;293667.77444717445
168;0-1000;Koggenland;293288.96396396396
628;1001-2000;Oud-Beijerland;292681.0408921933
51;0-1000;Brielle;292441.62436548225
1397;3001-4000;Purmerend;292310.94074074074
225;0-1000;Noordenveld;291643.2093663912
63;0-1000;Cuijk;290891.44295302016
68;0-1000;De Fryske Marren;290663.1379962193
298;0-1000;Strijen;290254.71698113205
512;1001-2000;Hardinxveld-Giessendam;290215.2671755725
1311;3001-4000;Krimpen aan den IJssel;290196.2962962963
254;0-1000;Peel en Maas;290128.0446096654
526;1001-2000;Helmond;289344.1712393567
1124;2001-3000;Zaanstad;289235.3498652291
0;0-1000;Aa en Hunze;289099.4550408719
520;1001-2000;Heerhugowaard;289002.51957295375
1339;3001-4000;Maassluis;288208.9077669903
120;0-1000;Grave;287897.61904761905
34;0-1000;Berkelland;287707.12716763007
259;0-1000;Raalte;286739.6551724138
345;0-1000;Werkendam;286080.17341040465
81;0-1000;Doesburg;284736.5483870968
7;0-1000;Alkmaar;284685.0171258377
1511;3001-4000;Zoetermeer;284164.01721938775
1408;3001-4000;Rijswijk;284104.18882978725
338;0-1000;Waalwijk;283529.1891891892
114;0-1000;Goeree-Overflakkee;283021.8728522337
247;0-1000;Oss;282192.8148873653
359;0-1000;Woensdrecht;281748.5714285714
756;1001-2000;Zutphen;281605.9065934066
211;0-1000;Moerdijk;279534.1135857461
343;0-1000;Weert;277089.74324324325
687;1001-2000;Tilburg;276625.7147950089
196;0-1000;Losser;276499.5238095238
765;2001-3000;Alblasserdam;275179.42583732057
201;0-1000;Marum;274712.85714285716
213;0-1000;Montferland;273675.17391304346
1297;3001-4000;Hoorn;272526.90504103166
617;1001-2000;Oldenzaal;272269.48924731184
155;0-1000;Hollands Kroon;272099.2091388401
208;0-1000;Midden-Drenthe;272047.22222222225
78;0-1000;Deventer;271607.37571312144
144;0-1000;Hellendoorn;271401.2897727273
389;1001-2000;Almere;270856.3412726626
158;0-1000;Horst aan de Maas;270758.74125874124
107;0-1000;Geertruidenberg;270533.1715210356
246;0-1000;Opsterland;270528.3506097561
46;0-1000;Borne;270389.9082568807
646;1001-2000;Ridderkerk;270085.91496062995
82;0-1000;Doetinchem;270073.2294853964
145;0-1000;Hellevoetsluis;269415.8534482759
264;0-1000;Rheden;268982.385518591
124;0-1000;Haaksbergen;268974.38659793814
139;0-1000;Heerenveen;268797.8118811881
979;2001-3000;Nieuwegein;268357.7262693157
1578;4001-5000;Capelle aan den IJssel;268266.88221709005
1138;2001-3000;Zwijndrecht;267817.1942446043
187;0-1000;Leudal;267637.26608187135
111;0-1000;Gennep;267006.875
198;0-1000;Maasgouw;266978.8461538461
279;0-1000;Schinnen;266555.55555555556
243;0-1000;Ooststellingwerf;265885.82089552237
278;0-1000;Schiermonnikoog;265790.9090909091
286;0-1000;Sluis;265245.34161490685
398;1001-2000;Arnhem;264083.3118594436
294;0-1000;Steenbergen;263833.3892857143
686;1001-2000;Tiel;263742.85714285716
231;0-1000;Nuth;263711.53846153844
249;0-1000;Oude IJsselstreek;263443.41274238226
165;0-1000;Kapelle;263073.5294117647
205;0-1000;Meppel;263037.9194630872
241;0-1000;Oost Gelre;262991.6666666667
115;0-1000;Goes;262328.1650294695
91;0-1000;Echt-Susteren;261383.6448598131
798;2001-3000;Beverwijk;260375.9793814433
1393;3001-4000;Papendrecht;260056.10422535212
295;0-1000;Steenwijkerland;259894.66854990585
33;0-1000;Bergen op Zoom;259797.59510869565
90;0-1000;Duiven;258750.2100840336
180;0-1000;Leek;258298.75
270;0-1000;Roermond;258293.6224489796
271;0-1000;Roosendaal;257785.51797040168
318;0-1000;Vaals;257764.0350877193
673;1001-2000;Stede Broec;257151.05633802817
26;0-1000;Beek;256820.54794520547
1639;4001-5000;Gouda;256602.5974025974
224;0-1000;Noord-Beveland;255740.35714285713
370;0-1000;Zevenaar;255728.25570032574
130;0-1000;Hardenberg;255665.50621669626
47;0-1000;Borsele;255278.74493927124
327;0-1000;Venray;255052.59166666667
1108;2001-3000;Westervoort;254579.71014492755
164;0-1000;Kampen;254305.82047685835
351;0-1000;Weststellingwerf;252917.91044776118
665;1001-2000;Sliedrecht;252848.4909090909
309;0-1000;Twenterand;251187.0505319149
45;0-1000;Borger-Odoorn;250967.45423728813
60;0-1000;Coevorden;250894.7242206235
122;0-1000;Grootegast;250655.04587155965
311;0-1000;Tytsjerksteradiel;250398.32713754647
481;1001-2000;Enkhuizen;250193.80165289255
206;0-1000;Middelburg;249149.99099099098
66;0-1000;Dantumadiel;248551.88888888888
603;1001-2000;Nissewaard;247351.43344425957
