;Gemiddeld_inkomen_per_inwoner;Gemeentenaam_x;koopprijs
376;43.5;Wassenaar;736985,088607595
375;42.9;Bloemendaal;887259,9277978339
374;41.3;Laren;822066,5172413794
373;40.8;Blaricum;746887,0860655737
372;38.5;Heemstede;591099,7757847534
371;36.3;Oegstgeest;451930,09478672984
370;36.2;Gooise Meren;530844,5486518171
369;33.4;Ouder-Amstel;454411,1842105263
367;33.0;De Bilt;528722,5933202357
368;33.0;Westvoorne;435461,7021276596
366;32.8;Amstelveen;494582,4229287091
365;32.4;Waalre;414183,6820083682
364;32.0;Voorschoten;414210,8910891089
363;31.8;Haren;380073,48242811504
362;31.4;Wijdemeren;499198,9197530864
361;31.2;Vught;455001,3888888889
360;31.1;Zeist;450401,2556818182
359;31.1;Baarn;420878,125
358;31.0;Utrechtse Heuvelrug;455979,3133802817
357;31.0;De Ronde Venen;465782,9352051836
356;31.0;Albrandswaard;376889,05821917806
355;30.8;Leidschendam-Voorburg;361701,74371451745
353;30.7;Bergen (NH.);514404,37158469943
354;30.7;Noordwijk;484720,7505285412
351;30.5;Bunnik;421428,5714285714
350;30.5;Brielle;292441,62436548225
352;30.5;Teylingen;389335,4114713217
349;30.4;Nuenen, Gerwen en Nederwetten;378911,6816720257
348;30.4;Landsmeer;477865,82352941175
347;30.4;Heiloo;425472,35135135136
346;30.3;Stichtse Vecht;403890,10113780026
342;30.0;Houten;374377,2631578947
344;30.0;Son en Breugel;379013,3611111111
343;30.0;Mook en Middelaar;332531,16842105263
345;30.0;Waterland;487770,9861111111
341;29.9;Lansingerland;404327,93095768377
340;29.9;Castricum;382005,0429184549
339;29.8;Hilversum;402885,83895705524
338;29.7;Renkum;357333,7239583333
337;29.6;Leusden;368604,56971153844
336;29.6;Amsterdam;496580,65873971506
335;29.5;Heeze-Leende;350841,12903225806
332;29.4;Haarlemmerliede en Spaarnwoude;427912,2807017544
334;29.4;Oisterwijk;415752,24913494807
333;29.4;Leiderdorp;319738,54447439354
329;29.3;Barendrecht;347567,5081433225
328;29.3;Aalsmeer;416142,3791821561
331;29.3;Pijnacker-Nootdorp;399383,4610778443
330;29.3;Midden-Delfland;391149,26519337017
327;29.1;Haarlem;399580,03487358324
326;29.0;Heumen;356709,08284023666
325;29.0;Cromstrijen;302306,862745098
324;29.0;Beemster;437859,6736842105
323;28.9;Weesp;387701,8874598071
322;28.9;Soest;419391,269470405
320;28.8;Haarlemmermeer;367125,5234580917
319;28.8;Haaren;436719,4915254237
318;28.8;Eemnes;472022,22222222225
321;28.8;Huizen;421284,3429158111
317;28.7;Veldhoven;334227,1897810219
316;28.5;Zandvoort;443786,8525896414
315;28.5;Oostzaan;439924,1935483871
314;28.4;Woerden;378781,35313531355
313;28.3;Zoeterwoude;404797,4683544304
312;28.3;Eersel;397602,5989583333
311;28.3;Binnenmaas;300697,8672316384
310;28.2;Uithoorn;381901,8087855297
309;28.2;Uitgeest;322611,1111111111
308;28.2;Meerssen;310271,49758454104
305;28.1;Best;343688,7139107612
304;28.1;Amersfoort;350241,3168056165
307;28.1;Sint-Michielsgestel;396039,3939393939
306;28.1;Rijswijk;284104,18882978725
303;28.0;Zuidplas;351698,87096774194
302;28.0;Utrecht;370537,6059238917
301;28.0;Tynaarlo;329490,8366445916
300;27.9;Wijk bij Duurstede;323104,1666666667
299;27.9;Voerendaal;299127,0
298;27.9;Hellevoetsluis;269415,8534482759
297;27.9;Eijsden-Margraten;347819,5294117647
296;27.9;Den Bosch;344775,2170138889
294;27.8;Bodegraven-Reeuwijk;343210,71428571426
295;27.8;IJsselstein;335500,4924924925
293;27.7;Kaag en Braassem;362882,0
292;27.6;Oudewater;413779,10447761195
291;27.6;Oud-Beijerland;292681,0408921933
290;27.6;Nieuwkoop;350027,43902439025
289;27.5;Montfoort;338977,2727272727
288;27.5;Edam-Volendam;349916,9435215947
287;27.5;Breda;356719,0990566038
286;27.4;Strijen;290254,71698113205
285;27.4;Lochem;372300,3937007874
284;27.3;Oirschot;393911,76470588235
283;27.3;Hilvarenbeek;402055,6
282;27.2;Nuth;263711,53846153844
281;27.2;Lisse;359619,7411003236
280;27.2;Alphen-Chaam;381037,63440860214
279;27.2;Alphen aan den Rijn;307208,4767879548
278;27.1;Wormerland;336641,5094339623
277;27.1;Leiden;330086,67462211614
276;27.1;Hillegom;307551,51515151514
275;27.1;Geldermalsen;357496,3017751479
274;27.1;Buren;368488,38028169016
272;27.0;Hendrik-Ido-Ambacht;300623,5576923077
271;27.0;Drimmelen;304008,86524822697
273;27.0;Schinnen;266555,55555555556
270;26.9;Velsen;322932,60553129547
269;26.9;Goirle;343177,4410774411
268;26.8;Zoetermeer;284164,01721938775
267;26.8;Valkenburg aan de Geul;308734,3949044586
266;26.8;Hattem;346965,81196581194
265;26.8;Diemen;349746,98913043475
264;26.8;Beuningen;302193,01470588235
263;26.8;Beek;256820,54794520547
262;26.7;Noordwijkerhout;366255,3488372093
261;26.7;Giessenlanden;383269,23076923075
260;26.7;Baarle-Nassau;349447,9166666667
257;26.6;Eindhoven;325157,3640915594
256;26.6;Culemborg;306805,4849785408
259;26.6;Maasgouw;266978,8461538461
258;26.6;Korendijk;305626,90625
255;26.5;Papendrecht;260056,10422535212
254;26.5;Heemskerk;317757,3966346154
253;26.4;Westland;348443,1052631579
252;26.4;Neerijnen;329240,94202898553
