;Gemeentenaam;month;koopprijs;Relative_difference %
0;Aa en Hunze;1;248782.14285714287;
1;Aa en Hunze;2;347736.84210526315;39.77564390742572
2;Aa en Hunze;3;320120.0;-7.941879824428632
3;Aa en Hunze;4;357150.0;11.567537173559916
4;Aa en Hunze;5;304333.3333333333;-14.788370899248681
5;Aa en Hunze;6;274041.6666666667;-9.953450164293521
6;Aa en Hunze;7;253854.05405405405;-7.366621601075007
7;Aa en Hunze;8;269847.22222222225;6.300142902095507
8;Aa en Hunze;9;293195.0;8.652220906891749
9;Aa en Hunze;10;292000.0;-0.4075785739866
10;Aa en Hunze;11;277437.037037037;-4.987316083206494
11;Aa en Hunze;12;267330.0;-3.6430020825545917
12;Aalburg;1;323950.0;
13;Aalburg;2;328916.6666666667;1.533158409219526
14;Aalburg;3;370659.0909090909;12.690881451965797
15;Aalburg;4;397076.92307692306;7.127258663220415
16;Aalburg;5;343250.0;-13.555792328554816
17;Aalburg;6;335933.3333333333;-2.1315853362466664
18;Aalburg;7;262050.0;-21.993451081563798
19;Aalburg;8;274863.63636363635;4.889767740368756
20;Aalburg;9;282638.8888888889;2.8287672491409843
21;Aalburg;10;318642.85714285716;12.738504738504751
22;Aalburg;11;386600.0;21.32705671374131
23;Aalburg;12;333150.0;-13.825659596482154
24;Aalsmeer;1;409382.35294117645;
25;Aalsmeer;2;439000.0;7.234715137581738
26;Aalsmeer;3;451259.25925925927;2.7925419724964096
27;Aalsmeer;4;396657.8947368421;-12.09977710198017
28;Aalsmeer;5;494395.8333333333;24.640361352528807
29;Aalsmeer;6;363875.0;-26.40006742235894
30;Aalsmeer;7;402815.7894736842;10.701694118497883
31;Aalsmeer;8;411638.8888888889;2.1903559010764795
32;Aalsmeer;9;453992.0;10.288899385923479
33;Aalsmeer;10;385615.3846153846;-15.061193894301084
34;Aalsmeer;11;356138.8888888889;-7.644014451315472
35;Aalsmeer;12;405000.0;13.71967865221122
36;Aalten;1;233996.9;
37;Aalten;2;210703.08333333334;-9.954754386347275
38;Aalten;3;230915.68;9.5929287540089
39;Aalten;4;259452.28;12.35801743736069
40;Aalten;5;207413.24;-20.05726833466255
41;Aalten;6;288595.1304347826;39.140167925047884
42;Aalten;7;243674.4375;-15.565298301155462
43;Aalten;8;258545.67857142858;6.1029138813252
44;Aalten;9;243793.42857142858;-5.705858276770382
45;Aalten;10;231056.36363636365;-5.224531690497603
46;Aalten;11;201634.5;-12.733630519117733
47;Aalten;12;225759.38888888888;11.96466323416323
48;Achtkarspelen;1;236025.0;
49;Achtkarspelen;2;202269.23076923078;-14.301777028183126
50;Achtkarspelen;3;220533.33333333334;9.029600050706721
51;Achtkarspelen;4;225265.625;2.1458396311970995
52;Achtkarspelen;5;228740.0;1.542345841714643
53;Achtkarspelen;6;213750.0;-6.553291947188944
54;Achtkarspelen;7;238933.33333333334;11.78167641325536
55;Achtkarspelen;8;226181.81818181818;-5.336850649350655
56;Achtkarspelen;9;251532.8260869565;11.208243044876266
57;Achtkarspelen;10;258395.83333333334;2.7284737953066296
58;Achtkarspelen;11;209100.0;-19.07764250584536
59;Achtkarspelen;12;228110.7142857143;9.091685454669673
60;Alblasserdam;1;230775.0;
61;Alblasserdam;2;309250.0;34.00498320875312
62;Alblasserdam;3;243166.66666666666;-21.368903260576666
63;Alblasserdam;4;331961.53846153844;36.516054199398965
64;Alblasserdam;5;331333.3333333333;-0.1892403352257377
65;Alblasserdam;6;297000.0;-10.362173038229372
66;Alblasserdam;7;306100.0;3.063973063973058
67;Alblasserdam;8;257285.7142857143;-15.947169459093669
68;Alblasserdam;9;255717.39130434784;-0.6095647345677468
69;Alblasserdam;10;256075.0;0.13984527756523146
70;Alblasserdam;11;267038.46153846156;4.281347862330009
71;Alblasserdam;12;252978.26086956522;-5.26523429916902
72;Albrandswaard;1;322865.0;
73;Albrandswaard;2;352208.6956521739;9.088534109356505
74;Albrandswaard;3;396558.06451612903;12.591787031786584
75;Albrandswaard;4;355550.0;-10.340998755419617
76;Albrandswaard;5;445867.7450980392;25.402262719178516
77;Albrandswaard;6;381338.46153846156;-14.472740912305436
78;Albrandswaard;7;346562.5;-9.11944769435592
79;Albrandswaard;8;373892.85714285716;7.8861264974881
80;Albrandswaard;9;347400.0;-7.085681535963328
81;Albrandswaard;10;385234.2105263158;10.8906766051571
82;Albrandswaard;11;383700.0;-0.39825396716965944
83;Albrandswaard;12;310905.8823529412;-18.9716230510969
84;Alkmaar;1;279136.6972477064;
85;Alkmaar;2;284590.2255639098;1.9537124175987186
86;Alkmaar;3;276502.77777777775;-2.841786913133415
87;Alkmaar;4;279175.0;0.966435940969057
88;Alkmaar;5;275893.7610619469;-1.1753340872402873
89;Alkmaar;6;302322.3893129771;9.57927723675349
90;Alkmaar;7;286692.98245614034;-5.169781468171886
91;Alkmaar;8;267045.9183673469;-6.852997907543523
92;Alkmaar;9;293147.5177304965;9.774198955268943
93;Alkmaar;10;272902.9126213592;-6.905944578984635
94;Alkmaar;11;293334.8623853211;7.486893257277294
95;Alkmaar;12;298058.5106382979;1.610326237585702
96;Almelo;1;210887.93103448275;
97;Almelo;2;204650.0;-2.9579364754936055
98;Almelo;3;208028.4090909091;1.650822912733485
99;Almelo;4;207630.61224489796;-0.19122236609390164
100;Almelo;5;206570.58823529413;-0.510533585651396
101;Almelo;6;215788.37209302327;4.462292495981868
102;Almelo;7;247330.68181818182;14.617242541484643
103;Almelo;8;233489.83050847458;-5.596091519240609
104;Almelo;9;216221.42857142858;-7.39578331931644
105;Almelo;10;196997.22222222222;-8.89098110035641
106;Almelo;11;207629.33333333334;5.3970868173550235
107;Almelo;12;178204.34782608695;-14.171882669394687
108;Almere;1;247851.23287671234;
109;Almere;2;254153.2513661202;2.542661747639019
110;Almere;3;277473.25757575757;9.175568710723958
111;Almere;4;244859.76744186046;-11.753741754732083
112;Almere;5;304207.8728070175;24.237589533465798
113;Almere;6;291224.5669014084;-4.267905950562101
114;Almere;7;273036.88932806323;-6.245241521640743
115;Almere;8;279436.71957671957;2.343943437242557
116;Almere;9;276998.6692015209;-0.8724874736905419
117;Almere;10;279773.87096774194;1.0018827073143832
118;Almere;11;253114.83982683983;-9.528778026585583
119;Almere;12;263403.6666666667;4.064884874733399
120;Alphen aan den Rijn;1;279886.2745098039;
121;Alphen aan den Rijn;2;291540.2097902098;4.163810926711831
122;Alphen aan den Rijn;3;301736.71875;3.4974623113317893
123;Alphen aan den Rijn;4;274358.2427184466;-9.073630861028048
124;Alphen aan den Rijn;5;336538.78109452734;22.66399498698204
125;Alphen aan den Rijn;6;318097.4842767296;-5.479694422681691
126;Alphen aan den Rijn;7;341440.1041666667;7.338196950224907
127;Alphen aan den Rijn;8;280070.4081632653;-17.97378083432316
128;Alphen aan den Rijn;9;304628.3870967742;8.768501854431165
129;Alphen aan den Rijn;10;322499.2366412214;5.866442623671175
130;Alphen aan den Rijn;11;273793.4579439252;-15.102602785841956
131;Alphen aan den Rijn;12;301127.5733333333;9.983480100173292
132;Alphen-Chaam;1;273125.0;
133;Alphen-Chaam;2;398500.0;45.90389016018306
134;Alphen-Chaam;3;366050.0;-8.143036386449188
135;Alphen-Chaam;4;261500.0;-28.561671902745523
136;Alphen-Chaam;5;513416.6666666667;96.33524537922244
137;Alphen-Chaam;6;319538.46153846156;-37.762351266652516
138;Alphen-Chaam;7;392571.4285714286;22.85576724671572
139;Alphen-Chaam;8;399727.2727272727;1.8228132856953794
140;Alphen-Chaam;9;372444.44444444444;-6.825360725747354
141;Alphen-Chaam;10;318388.8888888889;-14.513723150357993
142;Alphen-Chaam;11;269500.0;-15.355086372360837
143;Alphen-Chaam;12;548000.0;103.3395176252319
144;Ameland;1;475000.0;
145;Ameland;2;436500.0;-8.105263157894738
146;Ameland;3;270000.0;-38.144329896907216
147;Ameland;4;375000.0;38.888888888888886
148;Ameland;7;289000.0;-22.933333333333326
149;Ameland;9;400333.3333333333;38.52364475201844
150;Ameland;10;275500.0;-31.182348043297246
151;Ameland;12;317250.0;15.154264972776765
152;Amersfoort;1;357837.91878172586;
153;Amersfoort;2;318313.42063492065;-11.045363297821542
154;Amersfoort;3;329306.2827225131;3.4534711309581745
155;Amersfoort;4;334213.96396396396;1.4903090220074189
156;Amersfoort;5;382730.9917355372;14.516756629835047
157;Amersfoort;6;364138.7755102041;-4.857776513217438
158;Amersfoort;7;338336.80555555556;-7.085751831426556
159;Amersfoort;8;364767.85714285716;7.812053301118471
160;Amersfoort;9;357687.3786407767;-1.9410916733563766
161;Amersfoort;10;336464.4549763033;-5.933372249566404
162;Amersfoort;11;347531.72043010755;3.2892822080072825
163;Amersfoort;12;346345.1327433628;-0.3414329159008078
164;Amstelveen;1;470178.5714285714;
165;Amstelveen;2;506930.9756097561;7.8166905968338085
166;Amstelveen;3;504281.4285714286;-0.5226642611729337
167;Amstelveen;4;505857.3626373626;0.3125108276143429
168;Amstelveen;5;492142.978021978;-2.7111169330189533
169;Amstelveen;6;529950.7407407408;7.682272105297505
170;Amstelveen;7;465272.43902439025;-12.204587472780236
171;Amstelveen;8;524337.1739130435;12.69465584776599
172;Amstelveen;9;473066.1743119266;-9.778249979586551
173;Amstelveen;10;458827.0641025641;-3.0099616042244426
174;Amstelveen;11;500415.3846153846;9.064051309650733
175;Amstelveen;12;492583.4482758621;-1.5650870417467488
176;Amsterdam;1;495867.2902240326;
177;Amsterdam;2;466817.43959243083;-5.858392195717743
178;Amsterdam;3;478034.4347332577;2.402865486478012
179;Amsterdam;4;503896.45185185183;5.410074094981265
180;Amsterdam;5;516320.4234042553;2.465580280778834
181;Amsterdam;6;514915.33518930955;-0.27213492847747434
182;Amsterdam;7;487624.7375;-5.3000164928621025
183;Amsterdam;8;455370.85507246375;-6.6144885497192885
184;Amsterdam;9;510853.0484330484;12.183957919695088
185;Amsterdam;10;496407.8140756303;-2.8276692097123357
186;Amsterdam;11;492860.6296296296;-0.7145706303205435
187;Amsterdam;12;538319.0986460348;9.223392229678783
188;Apeldoorn;1;263125.8992805755;
189;Apeldoorn;2;279470.5729166667;6.2117312209782005
190;Apeldoorn;3;303686.3829787234;8.664887257835696
191;Apeldoorn;4;325464.28571428574;7.171181836324925
192;Apeldoorn;5;332252.9919678715;2.0858529035487905
193;Apeldoorn;6;295101.7699115044;-11.181606472925177
194;Apeldoorn;7;284744.9704142012;-3.509568749929559
195;Apeldoorn;8;304946.7455621302;7.09469077488627
196;Apeldoorn;9;303079.3386243386;-0.6123714927172674
197;Apeldoorn;10;305477.72925764194;0.7913408562224999
198;Apeldoorn;11;302932.8131868132;-0.8330938157139256
199;Apeldoorn;12;284454.0;-6.099970812807809
200;Appingedam;1;213071.42857142858;
201;Appingedam;2;211666.66666666666;-0.6592915409543099
202;Appingedam;3;207593.75;-1.92421259842519
203;Appingedam;4;134057.14285714287;-35.42332422958645
204;Appingedam;5;296357.14285714284;121.06777493606135
