;Gemeentenaam;month;koopprijs;difference
0;Aa en Hunze;1;247900.0;-101600
1;Aa en Hunze;2;349500.0;60000
2;Aa en Hunze;3;289500.0;-39500
3;Aa en Hunze;4;329000.0;37000
4;Aa en Hunze;5;292000.0;53000
5;Aa en Hunze;6;239000.0;-10000
6;Aa en Hunze;7;249000.0;19000
7;Aa en Hunze;8;230000.0;-59000
8;Aa en Hunze;9;289000.0;39000
9;Aa en Hunze;10;250000.0;35000
10;Aa en Hunze;11;215000.0;-2500
11;Aa en Hunze;12;217500.0;0
12;Aalburg;1;281250.0;-33750
13;Aalburg;2;315000.0;-17000
14;Aalburg;3;332000.0;-65500
15;Aalburg;4;397500.0;103500
16;Aalburg;5;294000.0;5000
17;Aalburg;6;289000.0;47250
18;Aalburg;7;241750.0;-8250
19;Aalburg;8;250000.0;-33750
20;Aalburg;9;283750.0;-20750
21;Aalburg;10;304500.0;-95000
22;Aalburg;11;399500.0;105500
23;Aalburg;12;294000.0;0
24;Aalsmeer;1;397750.0;58250
25;Aalsmeer;2;339500.0;-25500
26;Aalsmeer;3;365000.0;20500
27;Aalsmeer;4;344500.0;-43000
28;Aalsmeer;5;387500.0;28000
29;Aalsmeer;6;359500.0;500
30;Aalsmeer;7;359000.0;-16000
31;Aalsmeer;8;375000.0;-23000
32;Aalsmeer;9;398000.0;27500
33;Aalsmeer;10;370500.0;38000
34;Aalsmeer;11;332500.0;-16500
35;Aalsmeer;12;349000.0;0
36;Aalten;1;217000.0;50750
37;Aalten;2;166250.0;-28750
38;Aalten;3;195000.0;-30000
39;Aalten;4;225000.0;45500
40;Aalten;5;179500.0;-3500
41;Aalten;6;183000.0;-32000
42;Aalten;7;215000.0;-1250
43;Aalten;8;216250.0;-8750
44;Aalten;9;225000.0;10000
45;Aalten;10;215000.0;51250
46;Aalten;11;163750.0;-32750
47;Aalten;12;196500.0;0
48;Achtkarspelen;1;207000.0;-12000
49;Achtkarspelen;2;219000.0;4000
50;Achtkarspelen;3;215000.0;30375
51;Achtkarspelen;4;184625.0;-375
52;Achtkarspelen;5;185000.0;-20000
53;Achtkarspelen;6;205000.0;-21250
54;Achtkarspelen;7;226250.0;1250
55;Achtkarspelen;8;225000.0;-10000
56;Achtkarspelen;9;235000.0;8500
57;Achtkarspelen;10;226500.0;28250
58;Achtkarspelen;11;198250.0;-16000
59;Achtkarspelen;12;214250.0;0
60;Alblasserdam;1;221500.0;-20500
61;Alblasserdam;2;242000.0;16000
