;Buurtnaam;koopprijs
0;"""Bedrijventerrein """"De Sypel""""""";200000,0
1;"""Omg. """"Burghtweide""""""";367045,45454545453
2;"""Omg. """"Prinsessen"""" wijk""";280130,4347826087
3;'n Oaln Diek;204000,0
4;'s Gravenland;519951,3888888889
5;'s Gravenmoer;365130,4347826087
6;'t Acker;198716,51351351352
7;'t Broek;238885,7142857143
8;'t Dorp;340083,3333333333
9;'t Duifje;163813,88888888888
10;'t Duyfrak;459730,76923076925
11;'t Eigen en Hoogstraat;288631,1475409836
12;'t Eind;497600,0
13;'t Goeie Spoor en omgeving;247615,38461538462
14;'t Goysedorp;514666,6666666667
15;'t Haantje;316750,0
16;'t Hart;486347,54098360654
17;'t Hofke;298480,0
18;'t Hoogt van 't Kruis;687173,9130434783
19;'t Hool;355150,0
20;'t Hoorntje;279286,170212766
21;'t Joght;318875,0
22;'t Kip;345409,0909090909
23;'t Kruis;520000,0
24;'t Lage van de Weg;191750,0
25;'t Lange Land;556000,0
26;'t Lien;407662,1621621622
27;'t Loo;361900,0
28;'t Look;338964,28571428574
29;'t Loon;200428,57142857142
30;'t Pierik;274916,6666666667
31;'t Reuvelt;208181,81818181818
32;'t Rot;225000,0
33;'t Ruige Veld;251823,5294117647
34;'t Sandt;278666,6666666667
35;'t Spil;325000,0
36;'t Sumpel;469000,0
37;'t Veld en De Kampen;495000,0
38;'t Veld en De Weel (gedeeltelijk);296052,63157894736
39;'t Ven;346030,30303030304
40;'t Ven Oost;328655,1724137931
41;'t Ven West;294523,25581395347
42;'t Vijfeiken;334666,6666666667
43;'t Vliet;322400,0
44;'t Waal;303852,9411764706
45;'t Waar;139125,0
46;'t Wensink Noord;294300,0
47;'t Wensink Zuid;224566,66666666666
48;'t Wilbert;235242,42424242425
49;'t Woudt;569000,0
50;'t Zand;343676,0909090909
51;'t Zandt;148785,7142857143
52;'t Zwering;326789,4736842105
53;2e Daalsebuurt en omgeving;284470,5882352941
54;A2 zone Rosmalen Zuid;550000,0
55;Aadorp Oost;269625,0
56;Aadorp West;377000,0
57;Aagtdorp;974600,0
58;Aagtekerke;172625,0
59;Aalanden Midden;261750,0
60;Aalanden Noord;306800,0
61;Aalanden Oost;271046,875
62;Aalanden Zuid;248800,0
63;Aalbeek;439666,6666666667
64;Aalden;281125,0
65;Aalderinkshoek Noordoost;158928,57142857142
66;Aalderinkshoek Noordwest;125530,76923076923
67;Aalderinkshoek Zuidoost;254090,9090909091
68;Aalderinkshoek Zuidwest;161352,9411764706
69;Aalsburg;350499,92307692306
70;Aalsmeerderbrug;373250,0
71;Aalsmeerwegbuurt Oost;492378,3783783784
72;Aalsmeerwegbuurt West;420303,0303030303
73;Aalst;395754,0983606557
74;Aalten Kern 't Kobus;276825,0
75;Aalten kern Centrum;224761,7
76;Aalten kern Noord/Noordoost;216354,25
77;Aalten kern Oost;193458,46153846153
78;Aalten kern West;201045,6
79;Aalten kern Zuid 1;172488,1052631579
80;Aalten kern Zuid 2;217329,16666666666
81;Aan de Beek;195937,5
82;Aan de Heerstraat e.o.;417375,0
83;Aan de Stuw;397000,0
84;Aan het Echterbos;359000,0
85;Aardenburg;237125,0
86;Aarlanderveen Dorp;269800,0
87;Aarle Rixtel;318690,0
88;Aarperstraat Lange Akkers;555666,6666666666
89;Aart van der Leeuwbuurt;212117,64705882352
90;Aartswoud;312500,0
91;Aarveld;215166,66666666666
92;Aawijk Noord;185352,9411764706
93;Aawijk Zuid;244722,22222222222
94;Abbega;149666,66666666666
95;Abbekerk;271823,5294117647
96;Abbenes;393650,0
97;Abbenes Dijk;225000,0
98;Abbenes Omgeving;280000,0
99;Abcoude Buitengebied;1456333,3333333333
100;Abcoude Noordoost;572703,7037037037
101;Abcoude Zuidwest;613937,5
102;Abcoven;277250,0
103;Abdij  en Torenbuurt;199750,0
104;Abdijenbuurt;324325,0
105;Abdissenbosch;199714,2857142857
106;Abersland;218075,0
107;Absdaalseweg;325871,4285714286
108;Abstede  Tolsteegsingel e.o.;605375,0
109;Academiewijk;544708,3333333334
110;Achlum;194000,0
111;Achlum   Verspreide huizen;289000,0
112;Achter 't Hof;339000,0
113;Achter 't Tag;372666,6666666667
114;Achter Thesinge en Bovenrijge;239500,0
115;Achter de Dijk;316868,4210526316
116;Achter de Haesen;257333,33333333334
117;Achter de Hoven;150798,57142857142
118;Achter de Put;200666,66666666666
119;Achter den Winkel;238375,0
120;Achter het Raadhuis;403187,5
121;Achter het Singel;265933,3333333333
122;Achterberg;439192,3076923077
123;Achterberg West;359000,0
124;Achterbroek;388250,0
125;Achterdiep;342500,0
126;Achterdijk;665000,0
127;Achterdrempt;334500,0
128;Achterhakkers en omgeving;253375,0
129;Achterland;749500,0
130;Achterlanden en omgeving;129500,0
131;Achterste Erm;250000,0
132;Achterveld Noord;338821,4285714286
133;Achterveld Oost;304000,0
134;Achterveld West;387909,0909090909
135;Achterveld Zuid;301928,5714285714
136;Achterweg;279000,0
137;Achterwillenseweg;400000,0
138;Achterzeedijk Oost;490000,0
139;Achterzeedijk West;375000,0
140;Achthoeven;381025,0
141;Achthuizen buitengebied;303600,0
142;Achthuizen woonkern;239500,0
143;Achtmaal;292750,0
144;Achtse Barrier Gunterslaer;282479,1666666667
145;Achtse Barrier Hoeven;301848,75
146;Achtse Barrier Spaaihoef;311244,04761904763
147;Achttienhoven;585000,0
148;Ackerse Zoom;334363,63636363635
149;Ackerswoude;428222,27611940296
150;Acquoy;641000,0
151;Adegeest;381070,0
152;Admiraalsplein;182192,3076923077
153;Aduard;190071,42857142858
154;Aerdenhout Centrum;1229071,4285714286
155;Aerdenhout Noord;910571,4285714285
156;Aerdenhout West;1487833,3333333333
157;Aerdenhout Zuid;2291900,0
158;Aerdt;355750,0
159;Aetsveld Noord;337650,0
160;Aetsveld Zuid;289166,6666666667
161;Aetsveldsepolder;1250000,0
162;Afferden;334200,0
163;Afferden Kern;227931,81818181818
164;Afferdense Waarden;950000,0
165;Afrika;395150,9682539682
166;Afrikaanderbuurt Midden;152988,63636363635
167;Afrikaanderbuurt Oost;191125,0
168;Afrikaanderbuurt West;274147,0588235294
169;Afrikaanderwijk;366515,3846153846
170;Afrikabuurt Oost;263571,4285714286
171;Afrikabuurt West;301029,4117647059
172;Agnetaparkbuurt;301847,82608695654
173;Agnetendal;290312,5
174;Agniesebuurt;288339,28571428574
175;Agobuurt;149785,7142857143
176;Agrarisch gebied Beekbergen;466166,6666666667
177;Agrarisch gebied Beemte Broekland;604333,3333333334
178;Agrarisch gebied Lieren Oosterhuizen;575000,0
179;Agrarisch gebied Uddel;849000,0
180;Agrarisch gebied Wenum;510800,0
181;Agrarisch gebied Wiesel;617800,0
182;Agterpoort;708750,0
183;Aijen Kern;308333,3333333333
184;Akersloot Oost;320433,3333333333
185;Akersloot West;362340,0
186;Akert;280789,4736842105
187;Akker/Haagwinde;212200,0
188;Akkerbuurt;383750,0
189;Akkerhoeve;290666,6666666667
190;Akkerland;337976,0
