;global_id;postcode;Gemeentenaam;Buurtnaam;Afstand_tot_huisartsenpraktijk_km
6;4401955;2563PT;s Gravenhage                           ;Heesterbuurt;2
8;4411066;9045PX;Waadhoeke                               ;Bitgummole;4
14;4494771;5914AD;Venlo                                   ;Craneveld;4
19;4537568;1016TA;Amsterdam                               ;Groenmarktkadebuurt;3
22;4537566;1016TA;Amsterdam                               ;Groenmarktkadebuurt;3
24;4495635;1781JE;Den Helder                              ;Centrum;2
30;4422541;9205EE;Smallingerland                          ;Himsterhout;4
38;4427020;2613ZB;Delft                                   ;Agnetaparkbuurt;3
43;4416869;3361ET;Sliedrecht                              ;Buitenuitbreiding West;3
45;4417448;2613PB;Delft                                   ;Westerkwartier;4
61;4402199;5632HJ;Eindhoven                               ;Eckart;4
66;4420502;2161VR;Lisse                                   ;Zeeheldenwijk;4
68;4059630;9047HG;Waadhoeke                               ;Minnertsga;4
77;4445979;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
95;4437995;1053GB;Amsterdam                               ;Bellamybuurt Zuid;3
98;4445993;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
99;4412904;2402HW;Alphen aan den Rijn                     ;Preludeweg;3
101;4438882;5037PE;Tilburg                                 ;Staatsliedenbuurt West;3
104;4445693;1033CP;Amsterdam                               ;Tuindorp Oostzaan Oost;3
105;4446007;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
106;4446008;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
108;4445981;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
110;4445994;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
111;4445999;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
112;4446006;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
113;4446000;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
116;4445989;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
119;4488206;8096CD;Oldebroek                               ;Oldebroek;4
130;4468963;4904LT;Oosterhout                              ;Componistenbuurt;4
133;4540786;2402HW;Alphen aan den Rijn                     ;Preludeweg;3
136;4490169;3201LG;Nissewaard                              ;De Dijk;2
137;4094287;3888KP;Apeldoorn                               ;Uddel;4
138;4490217;3201LG;Nissewaard                              ;De Dijk;2
147;4545110;3888LM;Apeldoorn                               ;Uddel;4
176;4094288;3888KP;Apeldoorn                               ;Uddel;4
178;4567674;3051HV;Rotterdam                               ;Hillegersberg Zuid;3
179;4574582;3074EJ;Rotterdam                               ;Hillesluis;3
198;4404439;3082KS;Rotterdam                               ;Oud Charlois;4
199;4446005;2691BM;Westland                                ;centrumgebied 's Gravenzande;3
200;4099365;8223GR;Lelystad                                ;Bastion;3
207;4543617;5306GE;Zaltbommel                              ;Brakel;4
210;4545253;3201LG;Nissewaard                              ;De Dijk;2
215;4490329;3201LG;Nissewaard                              ;De Dijk;2
216;4059304;8933DW;Leeuwarden                              ;Achter de Hoven;4
217;4060317;2563BZ;s Gravenhage                           ;Valkenboskwartier;3
220;4447688;4873GL;Etten Leur                              ;Banakkers 3;4
234;4426643;2551XE;s Gravenhage                           ;Nieuw Waldeck;4
235;4058717;9712GX;Groningen                               ;Binnenstad Noord;4
244;4472290;7443KG;Hellendoorn                             ;Kruidenwijk Centrum;2
247;4464822;6019AS;Maasgouw                                ;Wessem;4
250;4467424;5921HN;Venlo                                   ;Blerick Centrum;4
251;4470092;3071ZG;Rotterdam                               ;Kop van Zuid   Entrepot;3
257;4061870;4904LT;Oosterhout                              ;Componistenbuurt;4
260;4062827;1852EW;Heiloo                                  ;Akkerbuurt;4
269;4065973;1072HT;Amsterdam                               ;Cornelis Troostbuurt;4
277;4067200;2805CC;Gouda                                   ;Ouwe Gouwe;4
281;4069046;2596PA;s Gravenhage                           ;Waalsdorp;4
287;4055534;3135CX;Vlaardingen                             ;Babberspolder West;3
289;4058384;3022DJ;Rotterdam                               ;Nieuwe Westen;3
291;4070826;4815AH;Breda                                   ;Belcrum;4
295;4070707;1562ZX;Zaanstad                                ;Zuiderham;4
298;4060058;2282ER;Rijswijk                                ;Rembrandtkwartier;4
300;4058497;3134BX;Vlaardingen                             ;Oostbuurt;3
306;4072208;1071GG;Amsterdam                               ;Concertgebouwbuurt;3
309;4059150;6512DV;Nijmegen                                ;Bottendaal;4
310;4059456;1271NA;Huizen                                  ;De Zuid;4
315;4072982;1018NK;Amsterdam                               ;Czaar Peterbuurt;3
316;4060239;7901KL;Hoogeveen                               ;Centrum;4
322;4072401;1094TV;Amsterdam                               ;Zuidwestkwadrant Indische buurt;2
330;4402023;3328DR;Dordrecht                               ;Vredenburg en omgeving;4
